# TOPAS Version: 3.9
# Parameter File: 6.6_1MeV.txt
# Results for scorer: DoseOnRTGrid
# Scored in component: Scorer
# X in 1 bin  of 1 cm
# Y in 1 bin  of 1 cm
# Z in 100 bins of 0.02 cm
# DoseToMedium ( Gy ) : Sum   Standard_Deviation   
0, 0, 0, 3.06077097000923e-09, 3.027923876310538e-13
0, 0, 1, 3.906281964560776e-09, 2.641216107143275e-13
0, 0, 2, 5.032515293379447e-09, 2.629821832993036e-13
0, 0, 3, 3.845416873815566e-09, 2.544319240467247e-13
0, 0, 4, 6.171354094419712e-09, 4.448585047867949e-13
0, 0, 5, 7.285612113605566e-09, 5.064031342435142e-13
0, 0, 6, 3.509488699648955e-09, 2.228397155545683e-13
0, 0, 7, 6.052542467216426e-09, 3.450631918094563e-13
0, 0, 8, 5.715823814256282e-09, 4.361915203956515e-13
0, 0, 9, 4.87176876617923e-09, 2.378940809150348e-13
0, 0, 10, 4.261909047897916e-09, 2.579474145428319e-13
0, 0, 11, 7.177165084470971e-09, 3.618063367481585e-13
0, 0, 12, 2.495332607210798e-09, 1.882603165439898e-13
0, 0, 13, 7.619591180230145e-09, 6.016492942638054e-13
0, 0, 14, 4.892486415997155e-09, 2.237678856204084e-13
0, 0, 15, 4.866167913064601e-09, 3.356098770348277e-13
0, 0, 16, 6.66483179756483e-09, 4.295268272002162e-13
0, 0, 17, 6.363740201464907e-09, 4.622689163743683e-13
0, 0, 18, 6.242758754382294e-09, 3.907386676783087e-13
0, 0, 19, 5.725281582158459e-09, 3.119013670667492e-13
0, 0, 20, 4.014710786037767e-09, 2.268934687827014e-13
0, 0, 21, 5.635823363547843e-09, 3.54304601824691e-13
0, 0, 22, 4.675835718614962e-09, 2.315527620851259e-13
0, 0, 23, 5.379194867316528e-09, 3.730924660104405e-13
0, 0, 24, 4.700758893250168e-09, 2.885099641404978e-13
0, 0, 25, 4.315236612484341e-09, 2.653932270867471e-13
0, 0, 26, 5.663685076484626e-09, 2.682097420421736e-13
0, 0, 27, 4.568168510132864e-09, 3.894028761234672e-13
0, 0, 28, 5.52289769473191e-09, 3.836317032678801e-13
0, 0, 29, 5.339121145198078e-09, 3.065095986726573e-13
0, 0, 30, 5.739837494189715e-09, 3.756187884955902e-13
0, 0, 31, 5.632490474027918e-09, 3.280965091131692e-13
0, 0, 32, 5.635843791651496e-09, 3.267418571946166e-13
0, 0, 33, 5.238809830387936e-09, 3.075212398580362e-13
0, 0, 34, 4.361125682805778e-09, 2.441521121517085e-13
0, 0, 35, 4.183314139538652e-09, 3.318657742379438e-13
0, 0, 36, 5.266854952168387e-09, 3.188265257253161e-13
0, 0, 37, 7.422263692546949e-09, 4.395826506457137e-13
0, 0, 38, 5.598687735641761e-09, 2.707773658584811e-13
0, 0, 39, 6.259993856616575e-09, 3.963477703665208e-13
0, 0, 40, 6.829423693233139e-09, 3.36431708283626e-13
0, 0, 41, 8.202214907271355e-09, 4.275531728647666e-13
0, 0, 42, 4.848259127498977e-09, 2.223999512335301e-13
0, 0, 43, 5.602234676160833e-09, 2.689765493333234e-13
0, 0, 44, 5.767776478649012e-09, 2.89644068837653e-13
0, 0, 45, 5.922661916457628e-09, 3.660026261226823e-13
0, 0, 46, 5.342927433815703e-09, 2.577922281408335e-13
0, 0, 47, 6.02848171382675e-09, 2.492722734793022e-13
0, 0, 48, 7.350590802701618e-09, 4.091270843989115e-13
0, 0, 49, 1.27860948495595e-08, 7.614578050085675e-13
0, 0, 50, 7.81242270875282e-09, 3.216056565442941e-13
0, 0, 51, 6.337403934963959e-09, 3.21641940013495e-13
0, 0, 52, 5.419208193302438e-09, 2.519510714463072e-13
0, 0, 53, 5.245477385784625e-09, 2.151321993883024e-13
0, 0, 54, 4.397600950056813e-09, 2.171761518932132e-13
0, 0, 55, 6.796526896835076e-09, 2.356092828083277e-13
0, 0, 56, 1.18672733862013e-08, 6.462702850980404e-13
0, 0, 57, 9.894849384295412e-09, 4.767851985625584e-13
0, 0, 58, 1.177565334131714e-08, 7.613089678755312e-13
0, 0, 59, 8.162621689677962e-09, 3.754029679122826e-13
0, 0, 60, 7.741869367805521e-09, 3.136710442386625e-13
0, 0, 61, 1.139116889703473e-08, 4.854924329160958e-13
0, 0, 62, 1.040009856012603e-08, 4.620980427946822e-13
0, 0, 63, 8.190502498450769e-09, 4.200673051847391e-13
0, 0, 64, 8.106605164925895e-09, 3.675145118789065e-13
0, 0, 65, 7.605890139927851e-09, 3.00485391180967e-13
0, 0, 66, 9.50670919763752e-09, 3.907855469917986e-13
0, 0, 67, 9.476597284674426e-09, 3.719943107243071e-13
0, 0, 68, 1.260026305516249e-08, 5.611421250886065e-13
0, 0, 69, 1.182783648800978e-08, 5.841416400459357e-13
0, 0, 70, 1.176287955928501e-08, 5.537975582651279e-13
0, 0, 71, 1.01965706988949e-08, 3.727793854487976e-13
0, 0, 72, 1.135863136880744e-08, 4.586270776385998e-13
0, 0, 73, 1.134751759224173e-08, 4.664063222452497e-13
0, 0, 74, 1.415692008066571e-08, 4.613982552800765e-13
0, 0, 75, 1.257674497878725e-08, 4.200718306718174e-13
0, 0, 76, 7.464609552698676e-08, 1.820399679811364e-12
0, 0, 77, 4.603645038514514e-07, 4.770162829021855e-12
0, 0, 78, 1.814191477933491e-06, 9.936511923427162e-12
0, 0, 79, 4.858015927311499e-06, 1.649860515940806e-11
0, 0, 80, 1.061261355062015e-05, 2.483211700404169e-11
0, 0, 81, 1.941592017828953e-05, 3.407237503065958e-11
